id, iata, icao, name, country_id
1489,TSN,ZBTJ,ZHANGGUIZHUANG,67
1490,TYN,ZBYN,WUSU,67
1491,NULL,ZBSJ,SHIJIAZHUANG,67
1492,SJW,NULL,DAGUOCUN,67
1493,SZX,ZGSZ,HUANGTIAN,67
1494,SHE,ZYTX,TAOXIAN,67
1495,SHA,ZSSS,HONGQIAO,67
1496,PVG,ZSPD,SHANGHAI PUDONG INTERNATIONAL AIRPORT,67
1497,NNG,ZGNN,WUXU,67
1498,TNA,ZSJN,JINAN,67
1499,HTN,ZWTN,HOTAN,67
1500,HFE,ZSOF,LUOGANG,67
1501,STT,TIST,CYRIL E. KING,68
